Candidate,Campaign Committee,Jurisdiction,Office,District,Election Year,Party,COOSA,Total Contributions,Total Expenditures
"Hanlon, Kristin ",,Bibb,Board of Education,3,2024,Other,No,,,
"Haralson, Marc",,Worth,Board of Education,4,2022,Other,No,,,
"Harbin, Maurice Henderson","Friends of Marty Harbin, Inc.",State,State Senator,16,2024,Republican,Yes,106280,70207.27,
"Harbison, Ed ",Committee To Elect Ed Harbison,State,State Senator,15,2024,Democrat,Yes,173675.2,151250.34,
"Harbuck, Noah Redding",Noah Harbuck for State House,State,State Representative,145,2024,Republican,No,5955,3076.33,
"Harden, Michael",Harden for State House,State,State Representative,28,2022,Republican,No,9394.37,9394.37,
"Hardin, Frankie",,Coweta County,County Commissioner,3,2022,Democrat,No,,,
"Harding, Wesley",,State,State Representative,102,2022,Republican,No,,,
"HARDY, ERICA",,Macon-Bibb (Cons. Gov.),County Commissioner,5,2024,Democrat,No,,,
"Hardy, James Edward",,State,Superior Court Judge,Southern Judicial Circuit: Hardy,2022,Non-Partisan,No,,,
"HARGROVE, BEDELIA C",COMMITTEE TO ELECT JUDGE BEDELIA C HARGROVE,DeKalb County,Probate Court Judge,,2024,Non-Partisan,No,,,
"Harkness, Jerry Bruce, Sr.",,Habersham County,County Commissioner,4,2024,Republican,No,,,
"Harling, Jacqueline Sue",,State,State Representative,1,2022,Republican,No,5997.18,8784.15,
"Harmon, Crystal D.",Harmon for Judge,Chatham County,Judge of Recorder%u2019s Court,,2024,Non-Partisan,No,,,
"Harmon, Kenneth Warren, Jr.",,Jackson County,Sheriff,,2024,Republican,No,,,
"Harrell, Brett ","Brett Harrell Campaign, Inc. d/b/a Friends of Brett Harrell",State,State Representative,106,2022,Republican,No,114121.13,114121.13,
"Harrell, Carlotta",,Henry County,County Commission Chair,,2024,Other,No,,,
"Harrell, Sally Roettger",Committee to Elect Sally Harrell,State,State Senator,40,2022,Democrat,Yes,159145.26,112662.92,
"Harrelson, Cameron Jay",Friends of Cameron Jay Harrelson,Athens-Clarke (Cons. Gov.),City Commissioner,2,2022,Non-Partisan,Yes,,,
"Harris, Ann Bethune",Friends of Judge Ann Harris,State,Superior Court Judge,Cobb Judicial Circuit: Harris,2022,Non-Partisan,No,339674.02,11822.38,
"Harris, Bonnie P",Committee to Elect Patsy Harris,State,State Representative,112,2022,Democrat,No,1003.28,,
"Harris, Melynee Leftridge",Committee to Elect Judge Melynee Leftridge Harris,State,Superior Court Judge,Atlanta Judicial Circuit: Harris,2024,Non-Partisan,Yes,17914.47,6399.26,
"Harris, Michael ",,Henry County,Tax Commissioner,,2024,Democrat,No,,,
"Harris, Michael J",HARRIS4COMMISSIONER,Camden County,County Commissioner,5,2024,Republican,No,,,
"Harris, Rodney S",,State,Superior Court Judge,Gwinnett Judicial Circuit: Batchelor,2024,Non-Partisan,No,,,
"Harris, Sarah",,Macon-Bibb (Cons. Gov.),Probate Court Judge,,2024,Other,No,,,
"Harris, William ","William Harris for State House, Inc.",State,State Representative,73,2022,Democrat,No,16136.7,16092.72,
"Harris, William Charles",,State,State Representative,126,2022,Republican,Yes,28067.09,23386.23,
"Harrison, Anthony ",Committee to Elect Anthony Harrison,State,Superior Court Judge,Brunswick Judicial Circuit: Harrison,2024,Non-Partisan,No,25080.21,4073.71,
"Hart, Samuel F, Sr.",,Macon-Bibb (Cons. Gov.),Waterboard,0,2024,Other,No,,,
"Hartwig, George , III",Hartwig for DA,State,District Attorney,Houston,2024,Republican,No,,,
"HARVEY, CORNELL L.",,Glynn County,County Commissioner,4,2022,Democrat,No,,,
"Harvin, Ross Joshua",Harvin for Georgia,State,State Senator,47,2024,Republican,Yes,109158.16,97653.18,
"Hasan, Aqeel K.","A-K Family, Friends & Allies",Augusta-Richmond (Cons. Gov.),County Commissioner,6,2022,Non-Partisan,Yes,,,
"Hatchett, James Matthew",Hatchett for House,State,State Representative,155,2024,Republican,Yes,499831.12,372573.78,
"Hatchett, Thomas Lawrence, III",Hatchett for Georgia,State,State Senator,50,2024,Republican,Yes,403736.4,306902.94,
"Hatfield, John Mark",Hatfield for House,State,State Representative,177,2022,Republican,No,,,
"Hatfield, John Mark","Hatfield For Senate, Inc.",State,State Senator,7,2022,Republican,No,,,
"Hausmann, Liz",Hausmann For Georgia,State,State Senator,14,2022,Republican,No,189367.49,189367.49,
"Hawkins, B. Lee",Committee to Elect Lee Hawkins,State,State Representative,27,2024,Unspecified,Yes,269905,270100.7,
"Hawkins, Justin T",Taxpayers for Justin Hawkins,State,State Representative,28,2022,Republican,Yes,,,
"Hawks, Laurie",Laurie Hawks For Walton,Walton County,County Commissioner,5,2022,Republican,No,,,
"Haworth, Jeffrey Michael",,State,State Representative,143,2024,Democrat,No,,,
"Hayes, Alan Bryan",,Orchard Hill,City Councilperson,2,2022,Non-Partisan,No,,,
"Hayes, Carlton Todd",The Committee to Elect Todd Hayes Solicitor-General,Cherokee County,Solicitor General,,2022,Republican,Yes,,,
"Hayes, Jason ",,State,State Representative,49,2022,Democrat,No,40438.21,40438.21,
"Hayes, Jason T.",Jason For Georgia,,Lieutenant Governor,,2022,Democrat,No,257672.79,268118.17,
"Hayes, Johnny M",,State,State Representative,154,2022,Democrat,No,48231.85,47904.03,
"Haynes, Nora Lott",Nora4ga,State,State Senator,3,2022,Republican,No,136185.36,64368.23,
"Hazel, Shane ",,,Governor,,2022,Other,Yes,,,
"Heard, Lawton Chad, Jr.",,State,Superior Court Judge,South Georgia Judicial Circuit: Heard,2024,Non-Partisan,No,,,
"Heath, Amanda Nichole",,State,Superior Court Judge,Augusta Judicial Circuit: Brown,2022,Non-Partisan,No,,,
"Heck, Brian Christopher",Elect Brian Heck,State,Superior Court Judge,Northeastern Judicial Circuit: Gosselin,2024,Non-Partisan,No,,,
"Hedge, Zaine Duv'on",Zaine Hedge for Superior Court Judge,State,Superior Court Judge,Douglas Judicial Circuit: McClain,2024,Non-Partisan,No,18313.01,15884.34,
"Hedge, Zaine Duv'on",Zaine Hedge for Superior Court Judge,State,Superior Court Judge,Douglas Judicial Circuit: Warren,2022,Non-Partisan,No,9870.32,9870.32,
"Helmly, Elizabeth Gnann",Elect Helmly Commissioner,Effingham County,County Commissioner,4,2024,Republican,No,,,
"Helms, Matthew Jerry",Matt Helms for Georgia,State,State Representative,26,2022,Democrat,No,1828,1750.86,
"Helton, Jon Franklin",Jon F. Helton,State,Superior Court Judge,Dublin Judicial Circuit,2024,Unspecified,No,4867.57,4500,
"Hemingway, Nakita",Nakita Hemingway for Georgia Inc.,State,State Representative,104,2022,Democrat,No,,,
"Hemingway, Nakita Anntionette",Nakita for Georgia Inc.,,Commissioner of Agriculture,,2022,Democrat,No,64626.66,35920.62,
"hemmerly, Isioma Euriel",Committee to Elect Isioma Euriel Hemmerly for State Senate,State,State Senator,33,2024,Democrat,Yes,56101.62,52636.23,
"Henderson, Sharon ",Sharon Henderson Campaign Funds,State,State Representative,113,2024,Democrat,Yes,14301.93,10647.3,
"Hendrickson, Nicole ",,Gwinnett County,County Commission Chair,,2024,Other,No,,,
"Henriques, Dominic",Friends of Donnie Henriques,Cherokee County,County Commission Chair,,2022,Republican,Yes,,,
"Henry, Amy ",Amy Henry for School Board Post 6,Cobb,Board of Education,6,2022,Republican,No,,,
"Henry, Amy",,Cobb,Board of Education,6,2022,Republican,No,,,
"Henry, Steven Maurice",,Catoosa County,County Commissioner,0,2024,Republican,No,,,
"Henry, Steven Maurice",,State,State Senator,53,2022,Republican,No,176994.37,176125.58,
"Henson, Catherine Goodhart",Henson For House,State,State Representative,60,2024,Republican,No,6850,2824.98,
"Henson, Michael ",,State,State Representative,28,2024,Democrat,No,175,,
"Hernandez, Courtney R",,Liberty,Board of Education,5,2022,Other,No,,,
"Herring, Marilyn ",,Worth,Board of Education,2,2024,Other,No,,,
"Herring, Tanjaneca ","Tangie for Georgia, LLC",State,State Representative,145,2024,Democrat,No,133863.4,128391.32,
"Hice, Jody Brownlow","Georgians for Jody Hice, Inc.",,Secretary of State,,2022,Republican,Yes,859029.95,1517103.9,
Hickman William R. "Billy","Billy Hickman for State Senate, Inc.",State,State Senator,4,2024,Republican,Yes,476036.58,169425.6,
"Hicks, Darryl",Committee To Elect Darryl Hicks,Fayette County,County Commissioner,5,2024,Democrat,Yes,,,
"Hicks, Nancy",,State,State Representative,145,2024,Republican,No,1250.33,1115.33,
"Higgins, Charles Keith",Committee to Re-Elect Keith Higgins,State,District Attorney,Brunswick,2024,Republican,No,118275.11,104409.37,
"Hightower, Phyllis Tufts",Committee to elect Phyllis Tufts Hightower,State,State Representative,149,2024,Democrat,Yes,8244.47,5354.25,
"Hill, Alan ",Georgians for Alan Hill,State,State Representative,32,2022,Other,No,,,
"Hill, Austin ",Friends of Austin Hill,Chatham County,County Commissioner,1,2024,Republican,No,,,
"Hill, Charles S., Jr.",CHARLES HILL FOR GEORGIA,State,State Representative,56,2022,Democrat,No,,,
"Hill, Ivan Dewayne",Dewayne Hill for State HOuse,State,State Representative,3,2022,Republican,No,,,
"Hill, Keisha Wright","Committee to Elect Keisha Wright Hill, LLC",Clayton County,Chief Magistrate Judge,,2024,Democrat,No,,,
"Hill, Kellie Stevens",Committee to Elect Judge Kellie Hill,State,Superior Court Judge,Cobb JudicialCircuit,2024,Non-Partisan,Yes,34895.52,8508.7,
"Hill, Kerry M",Tax Payers for Kerry Hill,Forsyth County,County Commissioner,1,2022,Republican,No,,,
"HIll, Marcus",,Camden County,County Commissioner,3,2024,Republican,No,,,
"Hill, Sabriya",,Henry County,Clerk of Superior Court,,2024,Other,No,,,
"Hill, Stacee L",,State,State Representative,22,2022,Democrat,No,,,
"Hilton, Scott Clifford",Committee to Elect Scott Hilton,State,State Representative,48,2024,Republican,No,493065.26,279959.54,
"Hines, Lacy",,Long County,County Commissioner,5,2022,Democrat,No,,,
"Hines, Natalie Michelle",Campaign to Elect Natalie M. Hines,Liberty,Board of Education,4,2022,Non-Partisan,No,,,
"Hinesley, Harold A.",,State,Superior Court Judge,Toombs Judicial Circuit: Hinesley,2024,Non-Partisan,No,,,
"Hinson, Wayne ",Wayne Hinson for Chief Magistrate Judge Campaign,Hart County,Chief Magistrate Judge,,2024,Non-Partisan,No,,,
"Hise, Melissa Gifford",Committee to Elect Melissa Hise Superior Court Judge,State,Superior Court Judge,Lookout Mountain Judicial Circuit: Graham,2024,Non-Partisan,No,34461.18,31360.24,
"Hise, Melissa Gifford",Committee to Elect Melissa Hise,State,Superior Court Judge,Lookout Mountain Judicial Circuit: Van Pelt,2022,Non-Partisan,No,16099.67,7189.05,
"Hise, Tricia L",Committee to Elect Tricia Hise,Habersham County,Chief Magistrate Judge,,2024,Republican,Yes,,,
"Hitchens, Currey Elizabeth",Currey for Georgia,,State School Superintendent,,2022,Democrat,Yes,32001.77,32101.77,
"Hitchens, William Whitehead, Jr.",,State,State Representative,161,2024,Republican,Yes,132177.43,91950.52,
"Hixon, Stuart Mitchell",Hixon for House,State,State Representative,20,2022,Republican,No,10740.03,47270.77,
"Hodges, Kenneth Bryant, III",Ken Hodges for Court of Appeals,,Court of Appeals Judge,,2024,Other,Yes,342414.44,74356.52,
"Hodges, Michael D.",Hodges for State Senate,State,State Senator,3,2022,Republican,No,403114.3,260023.05,
"Hoffner, Kelly Anne",Kelly Hoffner - Campaign for Tax Commissioner,Effingham County,Tax Commissioner,,2024,Republican,No,,,
"Hofkin, Kevin ",Committee to elect Kevin Hofkin for sheriff of Liberty County,Liberty County,Sheriff,,2024,Democrat,No,,,
"Hogan, Antaney",,Cobb County,Sheriff,,2024,Other,No,,,
"Hogan, James Donald",To Elect Don Hogan- State Representative district # 179,State,State Representative,179,2022,Republican,Yes,68217.61,23950,
"Holbrooks, Eric Charles",Eric Holbrooks for County Commissioner District 1,Habersham County,County Commissioner,1,2024,Republican,No,,,
"Holcomb, Scott ","Friends of Scott Holcomb, Inc.",State,State Representative,81,2022,Democrat,Yes,32495,32174.86,
"Holland, Elizabeth Stuart",Betsy Holland for Georgia,State,State Representative,54,2022,Democrat,Yes,103899.71,84156.12,
"Hollifield, Kayla Leigh",,State,State Representative,11,2022,Democrat,No,1543.93,500,
"Holly, El-Mahdi ",The Committee to Re-Elect El-Mahdi Holly,State,State Representative,116,2024,Democrat,No,79504.18,70297.81,
"Holmes, Bruce B.",Bruce B. Holmes for GA,State,State Senator,10,2022,Democrat,No,,,
"Holmes, Susan Dykes",Committee to elect Susan Dykes Holmes,State,State Representative,129,2022,Republican,Yes,34392.84,34392.84,
Holt Constance "Connie" "Jay,Campaign Committee to Re-elect Connie Jay Holt Chief Magistrate,Morgan County,Chief Magistrate Judge,,2024,Non-Partisan,No,,,
"Holtkamp, Matthew ",Matthew For Gwinnett,Gwinnett County,County Commissioner,4,2022,Republican,Yes,,,
"Homiller, Annette Marie Toy",,Ball Ground,City Councilperson,2,2022,Non-Partisan,No,,,
"Hong, Soo Jung","Hong for State House, LLC",State,State Representative,103,2024,Republican,Yes,274271.29,114299.72,
"Hooker, Christopher Eric",,Murray County,Magistrate Court Judge,,2024,Non-Partisan,No,,,
"Hooker, Monica Denise",Committee to Elect Dr. Monica Hooker,Clayton,Board of Education,1,2022,Non-Partisan,Yes,,,
"Hooks, Tyler Thomas",Committee to Elect Tyler Hooks Sheriff,Morgan County,Sheriff,,2024,Republican,No,,,
"Hooper, Karla Phinnette",Campaign to Elect Karla Daniels Hooper,State,State Representative,113,2024,Democrat,No,15165,20188.33,
"Hope, Mark Alexander, Jr.",Hope For Judge,Spalding County,Probate Court Judge,,2024,Non-Partisan,No,,,
"Hope, Ryan Slater",Committee to Keep Judge Ryan Hope,Athens-Clarke (Cons. Gov.),State Court Judge,at-Large,2024,Non-Partisan,No,,,
"Hopson, CaMia ",Committee to Elect CaMia Hopson,State,State Representative,153,2022,Democrat,Yes,13256.96,12589.86,
"Horn, Nicole",Nicole Horn for Labor Commissioner,,Commissioner of Labor,,2022,Democrat,Yes,397717.46,275860.6,
"Horne, Jan",Vote Jan Horne,State,State Representative,65,2022,Republican,No,400,400,
"Horner, Edward Mitchell",Mitchell4StateHouse,State,State Representative,3,2024,Republican,No,52904.03,22961.36,
"Hoskins, Dionne",,Savannah-Chatham,Board of Education,,2024,Other,No,,,
"Hossain, Mohammad",,State,State Senator,41,2022,Democrat,Yes,,,
"House, Brian Macon",Campaign to Elect Brian House,State,Superior Court Judge,Lookout Mountain Judicial Circuit: House,2024,Non-Partisan,Yes,43723.17,15574.03,
"House, Brian Macon",The Campaign to Elect Brian M. House,State,Superior Court Judge,Lookout Mountain Judicial Circuit: House,2022,Non-Partisan,Yes,10245.17,2195,
Houston Lillian "Penny",,State,State Representative,170,2022,Republican,Yes,48225,53033.07,
"Howard, Amanda B.",,Screven County,Clerk of Superior Court,,2024,Republican,No,,,
"Howard, Anita Reynolds",Committee to Elect Anita Howard,State,District Attorney,Macon,2024,Democrat,Yes,265573.54,68346.57,
"Howard, Henry DeWayne",,State,State Representative,124,2024,Democrat,No,2100,975,
"Howard, Jaha ",Dr. Howard for Georgia Inc,,State School Superintendent,,2022,Democrat,No,168474.42,141452.72,
"HOWARD, JEWELL DAVID",,State,State Representative,171,2022,Democrat,No,,,
"Howard, Jon Gregory",J. Gregory Howard for State Senate,State,State Senator,7,2024,Republican,No,1101,,
Howard Justin "Jutt" Alexander,Jutt Howard for State House,State,State Representative,71,2024,Republican,Yes,58750,3153.32,
"Howard, Karlton L",Committee to Elect Karlton L Howard,State,State Representative,129,2024,Democrat,Yes,42406.5,30026.77,
"Howkins, Kathryn Ann",,State,State Representative,124,2022,Democrat,No,,,
"Hubbard, Peter Jacob","Peter Hubbard for Georgia, Inc.",State,State Representative,90,2022,Democrat,No,1850,1818.71,
"Hube, Matthew Karl",,State,Superior Court Judge,Ogeechee Judicial Circuit: Peed,2024,Non-Partisan,No,35159,13682.18,
"Huddleston, Reuben David",,State,State Representative,72,2022,Republican,No,26275,27837.9,
"Hudgins, Andrew Bentley","The Committee to Elect Bentley Hudgins, Inc.",State,State Representative,90,2022,Democrat,Yes,8742.86,,
"Hudson, Hasani Kwasi",,State,State Representative,71,2024,Democrat,No,2055,155,
"Hudson, Torri ",TJFORGA,,Secretary of State,,2022,Republican,Yes,70798.94,68586.63,
"Huefner, Brian Nicholas",,State,State Senator,36,2022,Republican,No,,,
"Huff, Jamie",,Talbot County,Tax Commissioner,,2022,Other,No,,,
"Huffman, Brian Joseph, Jr.",,Chatham County,Judge of Recorder%u2019s Court,,2022,Other,No,,,
Hufstetler Charles Edward "Chuck",Chuck Hufstetler for State Senate,State,State Senator,52,2024,Republican,Yes,670409.95,226167.2,
"Hughes, Audrey Whitfield",Audrey for Athens,Athens-Clarke (Cons. Gov.),County Commissioner,1,2022,Non-Partisan,No,,,
"Hughes, Chris ",Committee to Elect Judge Chris Hughes,State,Superior Court Judge,Cordele,2024,Non-Partisan,No,39007.08,,
"Hughes, Marshall Lee",,Macon-Bibb (Cons. Gov.),Sheriff,,2024,Other,No,,,
"Hughes, Melissa",One Street At A Time,Tift County,County Commissioner,2,2024,Democrat,No,,,
"Hughes, Ralph Joseph",Joe Hughes Networking,Fulton County,Clerk of Superior Court,,2024,Democrat,No,,,
"Hugley, Carolyn F.",Committee To ReElect Carolyn F. Hugley,State,State Representative,141,2024,Democrat,Yes,173078.82,106469.66,
"Hulsey, Heidi",,Douglas,Board of Education,4,2022,Republican,No,,,
"Hunt, Clarence Henry, Jr.",,Buford,Board of Education (Removed),,2022,Democrat,No,,,
"Hutcherson, Thomas",Committee to Elect Tom Hutcherson,Pooler,City Councilperson,at-Large,2024,Non-Partisan,No,,,
"Hutchinson, Allen",Allen Hutchinson 4 Georgia,State,State Representative,23,2022,Republican,No,,,
"Hutchinson, George F.",Committee to Elect Judge George Hutchinson,State,Superior Court Judge,Gwinnett Judicial Circuit: Hutchinson,2022,Non-Partisan,Yes,50650.29,17218.14,
"Hutchinson, Rachelle Shelly",Friends of Shelly Hutchinson,State,State Representative,107,2022,Democrat,Yes,73358.47,66851.39,
"Hydrick, Stacey K.","Friends of Judge Hydrick, Inc.",State,Superior Court Judge,Stone Mountain,2024,Non-Partisan,Yes,67656.02,36946.32,
"Hyland, Anita",,State,State Representative,144,2024,Democrat,No,404,400,
"Ingram, Shukura L.",Keep Judge Ingram,State,Superior Court Judge,Atlanta Judicial Circuit: Millender,2024,Non-Partisan,Yes,45648,4374.59,
"Inman, Marcia",,Worth County,Clerk of Superior Court,,2024,Other,No,,,
"Irions, Robert Wayne",,Harris County,County Commissioner,4,2022,Republican,No,,,
"Irvin, James T.",,Stephens County,State Court Judge,at-Large,2024,Non-Partisan,No,,,
"Islam, Nabilah ",Nabilah for Georgia Inc,State,State Senator,7,2022,Democrat,Yes,518869.8,535457.67,
